,DATE,SEX,AGE,AREA,INCOME,SEOUL,GYEONGI,BUSAN,CHUNGNAM,CHUNGBUK,GYEONGNAM,GYEONGBUK,JEONNAM,JEONBUK,GANGWON,JEJU
248,20221010,1,3,8,4,3,3,4,2,2,4,3,2,2,3,2
249,20221010,1,3,8,4,2,2,2,1,2,3,2,3,2,2,1
250,20221010,1,3,1,4,3,2,4,3,3,3,2,3,3,3,4
251,20221010,1,3,1,2,2,2,2,2,2,1,0,3,2,1,1
252,20221010,1,3,1,1,2,2,2,2,2,2,2,2,2,3,3
253,20221010,1,3,1,3,3,3,4,2,3,2,2,3,2,2,3
254,20221010,1,3,1,4,1,2,2,3,2,1,1,3,3,2,2
255,20221010,1,3,1,3,2,3,4,2,2,3,2,3,3,4,4
256,20221010,1,3,1,1,4,4,4,4,4,4,4,4,4,4,4
257,20221010,1,3,1,4,1,2,3,2,1,0,0,2,3,3,3
258,20221010,1,3,1,4,2,2,3,2,2,3,2,1,2,2,2
259,20221010,1,3,1,4,0,0,0,0,0,0,0,1,0,1,2
260,20221010,1,3,4,4,2,2,3,3,2,2,0,3,2,3,3
261,20221010,1,3,4,3,2,0,1,2,0,3,1,2,0,4,2
262,20221010,1,3,9,2,3,1,2,2,2,1,1,2,2,2,3
263,20221010,1,3,3,3,3,4,2,2,2,1,2,3,3,3,1
264,20221010,1,3,3,1,4,3,2,2,2,2,3,3,2,4,4
265,20221010,1,2,8,4,2,0,3,2,2,0,1,3,3,1,3
266,20221010,1,2,8,4,2,2,3,1,2,3,1,2,2,2,2
267,20221010,1,2,13,3,2,4,1,2,2,3,3,3,3,1,2
268,20221010,1,2,13,4,3,3,3,2,2,2,3,2,2,2,2
269,20221010,1,1,1,3,1,2,2,2,1,2,1,2,2,3,4
270,20221010,1,1,1,3,0,0,3,4,0,2,3,4,1,1,2
271,20221010,1,1,1,4,4,3,3,2,2,2,2,2,2,3,4
273,20221010,1,1,1,2,0,2,3,4,4,1,1,4,4,2,4
274,20221010,1,1,1,4,1,2,3,2,2,2,2,2,2,2,1
275,20221010,1,1,1,4,3,2,0,2,2,2,2,3,2,4,4
276,20221010,1,1,1,2,1,1,2,1,2,2,2,1,2,3,1
277,20221010,1,1,8,2,2,2,3,2,2,3,2,3,2,4,2
278,20221010,1,1,8,2,2,1,3,2,2,3,3,3,2,1,3
279,20221010,1,1,12,2,4,2,4,3,2,2,2,2,2,4,3
281,20221010,1,1,3,2,2,2,2,2,2,2,2,2,2,2,2
282,20221010,1,1,3,2,4,2,3,3,2,3,2,3,2,4,4
283,20221010,1,1,3,1,2,2,3,2,2,2,2,2,2,3,2
284,20221010,1,0,8,3,2,3,3,3,3,2,2,3,3,3,4
285,20221010,1,0,8,3,1,2,4,3,3,3,2,4,2,2,2
286,20221010,1,0,8,3,2,2,4,3,2,2,2,2,2,2,4
287,20221010,0,4,8,4,2,2,1,2,1,1,1,3,3,3,2
288,20221010,0,4,8,3,2,2,3,2,2,2,2,2,2,3,4
289,20221010,0,4,8,4,2,2,2,2,2,2,2,2,2,3,3
290,20221010,0,4,8,4,2,2,3,3,3,2,2,3,3,3,3
291,20221010,0,4,8,4,3,2,2,2,2,2,2,2,2,3,3
292,20221010,0,4,8,4,2,2,3,2,2,3,3,2,2,3,3
293,20221010,0,4,8,2,4,3,4,3,1,2,0,3,1,2,0
294,20221010,0,4,10,4,2,3,2,2,3,2,2,2,2,3,3
295,20221010,0,4,10,4,2,2,3,1,1,3,1,3,3,3,3
296,20221010,0,4,10,4,2,2,2,3,2,3,2,3,2,3,3
298,20221010,0,3,8,4,2,3,3,2,3,3,2,1,1,3,2
299,20221010,0,3,8,1,1,2,2,2,2,2,2,2,2,2,2
300,20221010,0,3,8,1,2,2,2,2,1,2,2,3,2,2,3
301,20221010,0,3,8,4,2,1,3,2,2,2,1,3,2,3,3
302,20221010,0,3,8,4,0,2,2,2,0,2,0,2,1,3,3
303,20221010,0,3,8,3,2,3,4,3,3,3,3,3,3,4,4
304,20221010,0,3,8,2,2,2,2,0,0,0,0,2,3,3,0
305,20221010,0,3,8,4,2,2,2,1,1,3,1,3,3,3,1
306,20221010,0,3,8,3,2,2,2,2,2,2,2,2,2,2,2
307,20221010,0,3,8,2,0,2,2,3,2,3,2,0,0,3,2
308,20221010,0,2,8,4,2,2,3,2,2,2,1,3,2,3,3
309,20221010,0,2,8,3,3,2,3,2,2,2,2,2,2,3,3
310,20221010,0,2,8,4,3,3,2,2,2,0,0,2,2,4,2
311,20221010,0,2,8,2,2,3,3,2,1,1,1,1,1,3,1
312,20221010,0,2,8,3,2,3,3,3,3,3,3,3,3,3,3
313,20221010,0,1,8,2,2,2,2,3,3,2,2,2,2,3,1
314,20221010,0,1,8,3,2,3,3,2,2,3,3,2,1,3,3
315,20221010,0,1,8,4,2,2,2,2,2,2,1,2,2,2,2
316,20221010,0,1,8,2,2,2,3,3,2,2,4,4,3,2,4
317,20221010,0,1,8,4,2,2,2,2,2,2,3,3,3,3,2
318,20221010,0,1,8,3,2,2,2,3,3,2,2,0,0,3,2
319,20221010,0,1,6,1,0,0,1,0,0,0,0,0,1,3,1
320,20221010,0,1,3,2,3,3,3,2,2,2,2,2,2,2,3
321,20221010,1,4,14,4,3,3,3,3,3,3,3,3,3,3,4
322,20221010,1,4,8,4,2,2,2,2,2,3,2,1,0,3,1
323,20221010,0,0,8,4,1,3,4,2,1,2,1,2,1,3,4
324,20221010,1,4,8,4,3,3,3,2,3,3,2,3,2,3,2
326,20221010,1,4,8,1,2,1,2,1,1,2,2,1,1,2,2
327,20221010,1,4,8,3,1,2,3,2,3,3,3,3,3,3,1
329,20221010,0,4,1,4,2,2,2,2,2,2,2,2,2,3,3
330,20221010,1,0,1,2,2,2,4,3,3,1,3,1,1,3,4
331,20221010,0,2,6,4,3,2,2,3,2,2,2,3,3,3,2
332,20221010,0,3,11,4,2,2,2,2,2,2,2,1,2,2,2
333,20221010,0,0,1,1,3,2,3,3,1,1,1,3,3,1,4
334,20221010,0,1,7,3,2,3,2,1,3,2,2,2,1,3,4
335,20221010,1,2,1,2,2,2,2,1,1,0,2,1,1,4,2
336,20221010,0,1,7,2,3,2,2,2,2,3,2,3,3,3,1
337,20221010,1,0,14,1,4,2,4,2,3,4,4,2,2,3,3
338,20221010,1,0,5,4,3,3,3,4,2,3,3,3,3,2,4
339,20221010,0,3,1,3,0,2,1,1,2,2,0,2,1,2,4
340,20221010,1,3,6,2,2,2,2,2,2,2,2,2,2,2,2
341,20221010,1,2,1,4,3,3,3,3,0,0,0,0,3,1,0
342,20221010,1,3,2,3,1,3,1,1,1,3,1,1,1,3,3
343,20221010,0,1,4,2,2,2,0,2,2,0,0,2,2,2,4
344,20221010,1,0,1,2,1,2,2,2,2,2,2,2,2,2,3
345,20221010,1,1,10,2,2,2,3,2,2,4,3,3,2,3,2
346,20221010,1,3,10,2,3,2,3,2,2,3,2,2,2,3,3
347,20221010,0,3,15,4,3,2,3,2,2,2,1,2,2,2,3
348,20221010,0,1,4,1,2,2,3,2,3,2,2,2,2,3,2
349,20221010,1,2,10,3,1,2,2,1,3,4,3,3,1,2,1
351,20221010,1,0,1,2,2,1,3,3,1,1,2,1,1,2,4
352,20221010,0,2,2,3,2,2,1,2,3,3,2,3,3,4,2
353,20221010,1,4,7,1,3,2,4,3,3,3,4,1,4,3,4
354,20221010,0,4,2,2,1,1,2,0,0,2,1,1,1,1,1
355,20221010,1,2,15,2,0,0,2,0,0,2,1,0,0,2,2
356,20221010,1,2,1,3,2,3,2,2,2,3,2,4,3,4,4
357,20221010,1,4,8,3,4,3,3,3,3,3,4,2,2,3,4
359,20221010,0,2,7,4,2,2,0,2,2,1,2,2,2,2,3
360,20221010,1,2,11,1,0,0,0,0,0,0,0,0,0,0,0
361,20221010,1,4,1,4,0,0,2,3,2,2,1,3,1,3,2
362,20221010,0,4,2,2,3,2,3,3,2,2,2,2,2,3,3
363,20221010,0,3,5,2,1,1,3,1,1,2,2,2,2,3,3
364,20221010,0,4,0,3,2,1,2,2,1,0,2,3,2,2,4
365,20221010,1,0,1,4,2,2,3,2,2,2,2,3,3,3,4
366,20221010,0,0,4,1,2,3,4,0,0,0,0,3,3,0,2
367,20221010,0,4,12,1,1,1,1,1,1,1,1,1,2,3,1
368,20221010,0,2,6,4,2,2,4,2,2,3,4,4,3,3,2
369,20221010,1,2,14,4,2,0,2,2,2,2,2,2,2,2,2
370,20221010,1,2,15,3,2,2,3,2,1,1,2,1,2,3,2
371,20221010,0,0,8,3,3,3,0,0,0,0,0,0,0,2,2
372,20221010,0,1,14,3,3,2,2,2,2,1,1,1,2,3,2
373,20221010,0,0,10,1,3,2,3,2,2,2,2,2,2,2,2
374,20221010,1,3,7,2,1,2,0,2,2,2,2,2,2,2,3
375,20221010,1,1,0,1,2,2,2,2,2,2,0,4,2,2,2
376,20221010,0,2,1,3,2,2,2,1,1,3,3,2,1,3,1
377,20221010,0,1,2,2,3,2,2,2,2,2,3,2,2,2,4
378,20221010,0,0,8,4,2,2,3,1,0,3,3,2,2,2,3
379,20221010,1,0,11,4,4,1,3,2,2,1,1,4,2,3,4
380,20221010,0,4,4,1,3,3,3,3,3,3,3,2,3,3,3
381,20221010,1,2,5,1,2,2,2,2,2,2,2,2,2,3,3
382,20221010,0,1,5,2,0,0,0,0,0,3,2,2,0,4,4
383,20221010,0,4,11,4,2,2,2,2,2,2,2,2,3,2,3
384,20221010,0,4,1,2,1,2,2,1,3,2,2,2,2,3,3
385,20221010,1,4,10,4,2,2,2,2,3,3,3,2,2,2,2
386,20221010,1,2,1,3,2,2,2,2,2,2,2,2,2,2,0
388,20221010,1,2,2,2,2,2,1,2,2,2,2,4,4,2,4
389,20221010,1,1,2,3,2,2,2,2,2,2,2,2,2,2,1
390,20221010,0,0,1,4,1,0,1,3,3,0,1,0,0,3,3
391,20221010,0,4,0,4,3,3,4,2,3,4,4,2,2,4,4
392,20221010,1,4,1,3,2,2,2,2,2,2,2,2,2,2,2
393,20221010,1,4,1,2,2,2,3,2,2,3,3,1,1,3,3
394,20221010,1,4,1,2,0,2,3,0,1,0,2,3,4,2,2
395,20221010,0,1,7,1,3,2,2,2,2,3,2,2,2,2,4
396,20221010,0,0,4,2,4,2,4,2,2,3,1,2,2,3,3
397,20221010,1,4,11,4,2,2,2,2,1,0,1,4,2,2,2
398,20221010,0,3,1,4,1,2,2,3,3,3,3,1,2,4,2
399,20221010,0,0,7,1,0,2,3,0,2,0,4,4,2,0,4
400,20221010,0,4,4,2,3,3,2,2,2,2,2,4,3,4,4
401,20221010,1,4,10,1,2,2,2,2,2,2,2,2,2,2,2
402,20221010,1,0,1,4,2,2,2,2,2,2,2,2,2,3,4
404,20221010,0,2,10,2,2,0,3,0,0,0,0,0,0,2,2
405,20221010,0,3,4,3,3,2,2,2,2,2,2,2,2,2,2
406,20221010,1,4,2,1,0,0,2,3,3,1,2,3,2,3,4
407,20221010,0,2,7,3,3,2,2,2,2,2,2,2,2,2,3
