RESPOND_ID,EXAMIN_YM,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,ANSWRR_OC_AREA_NM,HSHLD_INCOME_DGREE_NM,HSHLD_INCOME_DGREE_NM,DMSTC_TOUR_TY_VALUE
53323421,202210,1,0,8,1,1,0
53323443,202210,0,1,8,2,2,0
53323448,202210,1,3,8,3,3,0
53323462,202210,1,0,8,0,0,0
53323480,202210,1,0,8,3,3,0
53323537,202210,0,2,8,3,3,0
53323551,202210,1,1,8,3,3,0
53323577,202210,0,2,8,3,3,0
53323587,202210,0,1,1,3,3,0
53323605,202210,0,1,8,1,1,0
53323641,202210,1,2,8,3,3,0
53323674,202210,1,1,8,2,2,0
53323698,202210,1,3,8,1,1,0
53323722,202210,1,3,8,3,3,0
53323731,202210,1,2,8,1,1,0
53323745,202210,1,3,8,3,3,0
53323775,202210,0,1,8,3,3,0
53323777,202210,0,3,8,1,1,0
53323782,202210,1,3,8,1,1,0
53323804,202210,0,2,8,3,3,0
53323863,202210,0,3,8,2,2,0
53323868,202210,0,1,8,1,1,0
53323934,202210,0,2,8,1,1,0
53323980,202210,1,3,8,1,1,0
53323988,202210,1,4,8,3,3,0
53324007,202210,1,1,8,3,3,0
53324011,202210,0,3,8,2,2,0
53324063,202210,0,4,8,3,3,1
53324072,202210,1,4,8,3,3,0
53324085,202210,0,2,8,1,1,1
53324100,202210,1,1,8,3,3,0
53324205,202210,0,4,8,2,2,0
53324275,202210,0,1,8,1,1,0
53324288,202210,0,4,8,1,1,2
53324307,202210,1,4,8,0,0,1
53324323,202210,1,0,8,0,0,0
53324326,202210,1,3,1,0,0,0
53324336,202210,0,3,8,3,3,0
53324346,202210,1,0,8,3,3,0
53324388,202210,0,1,8,2,2,0
53324391,202210,0,1,8,2,2,0
53324446,202210,1,0,8,0,0,0
53324588,202210,0,2,8,2,2,0
53324595,202210,0,3,8,0,0,0
53324604,202210,0,4,8,0,0,0
53324611,202210,0,2,8,3,3,0
53324623,202210,1,3,8,3,3,0
53324641,202210,0,4,8,2,2,0
53324658,202210,1,3,8,2,2,0
53324661,202210,1,4,8,3,3,0
53324673,202210,0,4,8,3,3,0
53324681,202210,1,3,8,1,1,0
53324700,202210,0,4,8,2,2,0
53324701,202210,0,1,8,2,2,0
53324724,202210,1,1,8,1,1,0
53324726,202210,0,4,8,3,3,0
53324755,202210,1,4,8,0,0,0
53324773,202210,1,2,8,1,1,0
53324886,202210,1,2,8,2,2,0
53324945,202210,1,4,8,2,2,0
53325053,202210,0,3,8,1,1,0
53325064,202210,0,1,8,2,2,0
53325072,202210,0,2,8,3,3,0
53325078,202210,0,3,8,2,2,0
53325121,202210,0,3,8,3,3,0
53325136,202210,1,1,8,3,3,2
53325147,202210,0,4,8,2,2,0
53325161,202210,1,4,8,2,2,0
53325195,202210,1,2,8,3,3,0
53325199,202210,0,2,8,3,3,0
53325259,202210,0,2,8,3,3,0
53325261,202210,1,3,8,1,1,0
53325330,202210,1,4,8,1,1,0
53325349,202210,0,3,8,2,2,0
53325399,202210,0,2,8,3,3,0
53325431,202210,0,2,0,3,3,0
53325444,202210,0,4,12,3,3,0
53325473,202210,1,4,1,1,1,0
53325544,202210,1,3,12,0,0,0
53325627,202210,0,1,15,3,3,0
53325663,202210,1,4,8,1,1,0
53325667,202210,1,4,1,2,2,0
53325686,202210,1,2,8,3,3,0
53325698,202210,1,3,1,1,1,0
53325710,202210,1,4,1,3,3,0
53325864,202210,0,2,2,3,3,0
53325891,202210,1,2,1,1,1,3
53325898,202210,0,1,4,1,1,0
53325905,202210,0,1,9,2,2,0
53325917,202210,1,4,8,1,1,0
53325922,202210,1,3,5,3,3,0
53325962,202210,1,3,1,1,1,0
53326009,202210,1,3,10,1,1,0
53326031,202210,1,1,11,2,2,0
53326051,202210,1,2,8,3,3,0
53326158,202210,0,0,1,1,1,0
53326205,202210,1,1,1,3,3,0
53326213,202210,0,1,2,1,1,0
53326301,202210,1,2,14,2,2,0
53326343,202210,1,4,1,1,1,0
53326347,202210,0,1,2,3,3,0
53326350,202210,1,3,8,3,3,0
53326358,202210,0,3,7,1,1,0
53326378,202210,0,2,13,2,2,0
53326450,202210,0,1,14,0,0,0
53326512,202210,0,3,1,1,1,0
53326517,202210,1,1,14,2,2,0
53326576,202210,0,3,1,3,3,0
53326591,202210,0,1,7,1,1,0
53326593,202210,1,4,10,3,3,0
53326596,202210,1,1,1,3,3,0
53326601,202210,1,3,1,1,1,0
53326606,202210,1,3,8,3,3,0
53326695,202210,0,4,8,3,3,0
53326762,202210,1,0,2,2,2,0
53326768,202210,0,2,8,3,3,0
53326770,202210,1,0,12,0,0,0
53326843,202210,0,2,0,3,3,0
53326853,202210,1,3,1,3,3,0
53326890,202210,1,4,8,0,0,0
53326912,202210,0,1,1,2,2,0
53326923,202210,0,2,8,2,2,0
53326931,202210,1,2,11,0,0,0
53326948,202210,1,4,1,3,3,0
53326963,202210,0,1,1,3,3,0
53327036,202210,1,0,1,0,0,0
53327063,202210,0,3,1,0,0,0
53327073,202210,1,3,1,1,1,0
53327084,202210,1,0,1,3,3,0
53327110,202210,1,2,6,1,1,0
53327164,202210,0,4,15,0,0,0
53327248,202210,0,4,8,3,3,0
53327300,202210,0,3,1,1,1,0
53327382,202210,1,3,2,1,1,0
53327404,202210,0,4,7,1,1,0
53327406,202210,1,4,3,0,0,3
53327446,202210,1,1,5,1,1,0
53327662,202210,1,1,7,1,1,3
53327713,202210,0,1,1,3,3,0
53327718,202210,0,1,8,1,1,0
53327719,202210,1,2,1,3,3,0
53327761,202210,1,3,7,3,3,0
53327834,202210,1,4,14,3,3,0
53327840,202210,0,1,8,0,0,0
53327843,202210,1,2,2,1,1,0
53327863,202210,1,3,15,1,1,0
53327922,202210,0,3,14,1,1,0
53327931,202210,0,1,1,2,2,0
53327948,202210,1,3,11,3,3,0
53327952,202210,1,3,9,1,1,0
53328055,202210,0,4,0,3,3,0
53328203,202210,0,4,8,3,3,0
53328231,202210,0,1,8,1,1,2
53328310,202210,1,0,8,0,0,0
53328320,202210,1,4,5,2,2,0
53328339,202210,0,1,9,1,1,0
53328354,202210,0,2,15,1,1,0
53328392,202210,0,2,3,2,2,0
53328397,202210,0,2,14,2,2,0
53328400,202210,0,1,15,1,1,0
53328467,202210,0,4,8,2,2,0
53328483,202210,0,4,9,0,0,0
53328552,202210,1,2,1,2,2,0
53328601,202210,0,0,1,3,3,0
53328606,202210,0,0,8,2,2,0
53328650,202210,1,3,1,1,1,3
53328666,202210,1,3,6,3,3,0
53328684,202210,0,3,8,2,2,0
53328702,202210,0,3,10,3,3,0
53328705,202210,0,2,1,1,1,0
53328731,202210,1,1,1,3,3,0
53328744,202210,0,1,1,2,2,0
53328751,202210,0,3,10,1,1,0
53328758,202210,0,1,3,1,1,0
53328768,202210,0,1,11,2,2,0
53328774,202210,0,0,5,0,0,0
53328811,202210,1,1,3,0,0,0
53328857,202210,0,2,1,2,2,0
53328866,202210,1,1,7,2,2,0
53328919,202210,0,0,0,1,1,2
53328929,202210,0,1,3,0,0,0
53328935,202210,1,2,1,1,1,0
53328936,202210,0,0,3,0,0,0
53328985,202210,0,3,8,3,3,0
53329066,202210,1,2,1,3,3,0
53329165,202210,1,4,8,3,3,0
53329193,202210,0,2,1,1,1,0
53329224,202210,1,1,7,1,1,0
53329261,202210,0,0,5,0,0,0
53329300,202210,1,2,1,2,2,0
53329301,202210,1,2,1,2,2,0
53329311,202210,0,2,9,1,1,0
53329394,202210,0,1,7,3,3,0
53329409,202210,1,2,7,1,1,0
53329506,202210,1,0,1,1,1,0
53329508,202210,0,0,5,3,3,0
53329547,202210,0,0,1,1,1,0
53329596,202210,0,1,14,2,2,0
53329630,202210,1,1,7,1,1,0
53329666,202210,0,3,5,0,0,0
53329720,202210,1,1,1,2,2,0
53329764,202210,0,0,1,1,1,0
53329786,202210,0,3,0,3,3,0
53329787,202210,1,3,8,3,3,0
53329800,202210,0,2,1,2,2,0
53329807,202210,0,1,1,2,2,0
53329839,202210,1,1,15,1,1,0
53329910,202210,1,2,11,1,1,0
53329943,202210,1,3,3,1,1,0
53329993,202210,1,4,3,0,0,0
53330035,202210,0,0,1,2,2,0
53330037,202210,0,0,7,0,0,3
53330093,202210,1,4,0,2,2,0
53330106,202210,0,3,12,1,1,0
53330147,202210,0,0,7,0,0,0
53330247,202210,1,2,8,1,1,0
53330328,202210,0,3,2,2,2,0
53330377,202210,1,1,7,3,3,0
53330394,202210,0,2,0,1,1,0
53330504,202210,0,3,1,2,2,0
53330505,202210,0,1,12,3,3,0
53330515,202210,0,1,3,2,2,0
53330576,202210,1,3,1,2,2,0
53330590,202210,1,3,15,3,3,0
53330598,202210,1,3,1,1,1,0
53330634,202210,1,0,12,3,3,0
53330664,202210,0,2,5,3,3,0
53330670,202210,0,4,1,1,1,0
53330687,202210,1,1,1,3,3,0
53330697,202210,0,0,9,3,3,0
53330718,202210,0,4,10,2,2,0
53330723,202210,1,1,3,3,3,0
53330733,202210,1,2,4,2,2,0
53330736,202210,0,1,12,3,3,3
53330752,202210,0,1,5,3,3,0
53330760,202210,0,0,1,3,3,0
53330787,202210,1,3,1,0,0,3
53330816,202210,0,3,8,2,2,0
53330821,202210,0,2,8,0,0,0
53330838,202210,0,2,12,3,3,0
53330853,202210,0,1,7,1,1,0
53330862,202210,1,1,11,2,2,0
53330919,202210,1,1,8,2,2,0
53330939,202210,1,0,11,0,0,0
53330940,202210,0,4,0,3,3,0
53330980,202210,0,0,7,2,2,0
53331006,202210,0,2,1,3,3,0
53331049,202210,0,1,1,2,2,0
53331071,202210,1,3,1,3,3,0
53331078,202210,1,2,14,2,2,0
53331083,202210,1,4,10,1,1,0
53331085,202210,1,4,1,1,1,0
53331088,202210,0,1,2,1,1,0
53331099,202210,0,0,11,2,2,0
53331106,202210,1,2,14,3,3,3
53331130,202210,0,1,6,3,3,0
53331140,202210,1,2,7,1,1,0
53331164,202210,1,2,8,3,3,0
53331177,202210,0,4,4,3,3,0
53331178,202210,1,1,12,3,3,0
53331185,202210,0,2,1,3,3,0
53331208,202210,0,4,8,1,1,1
53331216,202210,1,3,6,0,0,0
53331253,202210,1,1,5,1,1,0
53331278,202210,1,4,1,1,1,0
53331294,202210,1,3,10,3,3,0
53331300,202210,1,4,7,3,3,0
53331306,202210,1,4,0,1,1,2
53331319,202210,0,3,8,3,3,1
53331357,202210,0,2,1,2,2,0
53331394,202210,1,3,6,1,1,0
53331404,202210,1,1,1,1,1,0
53331434,202210,1,2,8,2,2,0
53331501,202210,0,3,1,3,3,0
53331512,202210,0,0,1,1,1,0
53331522,202210,1,1,5,3,3,2
53331531,202210,1,4,3,1,1,0
53331545,202210,0,0,1,3,3,0
53331589,202210,0,0,0,1,1,0
53331632,202210,0,4,9,2,2,0
53331651,202210,1,1,3,1,1,0
53331653,202210,1,1,1,3,3,2
53331682,202210,0,2,3,3,3,0
53331787,202210,0,1,1,3,3,0
53331801,202210,0,4,1,1,1,0
53331831,202210,0,3,8,3,3,0
53331870,202210,0,2,8,1,1,2
53331920,202210,1,0,2,2,2,3
53331939,202210,0,0,7,1,1,0
53331957,202210,1,1,4,1,1,0
53332091,202210,1,1,1,1,1,0
53332137,202210,1,1,0,3,3,0
53332204,202210,0,4,10,2,2,0
53332231,202210,1,4,6,0,0,0
53332269,202210,0,1,8,1,1,0
53332307,202210,1,3,6,0,0,0
53332322,202210,1,3,10,2,2,0
53332347,202210,1,3,9,2,2,0
53332421,202210,1,1,1,3,3,0
53332424,202210,0,0,1,3,3,0
53332499,202210,0,0,3,1,1,0
53332537,202210,0,2,8,2,2,0
53332573,202210,0,2,12,3,3,0
53332634,202210,0,1,7,0,0,0
53332635,202210,0,3,8,3,3,0
53332637,202210,1,0,7,3,3,0
53332645,202210,0,1,10,1,1,0
53332649,202210,0,2,1,3,3,0
53332693,202210,0,3,10,1,1,0
53332713,202210,0,2,5,0,0,0
53332741,202210,1,2,1,1,1,0
53332745,202210,0,2,2,2,2,0
53332757,202210,1,3,15,3,3,0
53332778,202210,1,4,3,2,2,0
53332783,202210,0,2,15,3,3,0
53332802,202210,0,1,1,3,3,0
53332805,202210,1,1,4,0,0,0
53332839,202210,1,0,12,3,3,0
53332850,202210,0,1,5,3,3,0
53332880,202210,0,3,9,2,2,1
53332891,202210,0,0,1,2,2,0
53332985,202210,1,4,11,0,0,0
53332987,202210,1,2,1,3,3,0
53332988,202210,0,2,10,2,2,0
53333028,202210,0,4,2,2,2,0
53333043,202210,1,0,1,3,3,0
53333068,202210,1,0,8,2,2,0
53333069,202210,1,0,10,3,3,0
53333151,202210,1,2,1,1,1,0
53333159,202210,0,3,14,1,1,0
53333161,202210,0,1,2,3,3,0
53333170,202210,0,4,12,1,1,0
53333180,202210,0,2,1,2,2,0
53333200,202210,1,2,1,1,1,2
53333234,202210,1,4,1,1,1,0
53333235,202210,0,3,2,1,1,0
53333241,202210,0,4,2,0,0,0
53333244,202210,1,2,7,1,1,0
53333253,202210,1,4,11,1,1,0
53333296,202210,0,1,12,1,1,0
53333307,202210,1,0,1,3,3,0
53333318,202210,1,1,1,2,2,0
53333331,202210,1,1,15,2,2,0
53333337,202210,1,1,1,0,0,0
53333345,202210,0,2,10,2,2,0
53333358,202210,1,1,10,2,2,3
53333407,202210,1,2,11,2,2,0
53333543,202210,0,2,1,3,3,0
53333546,202210,1,0,1,3,3,3
53333605,202210,0,4,10,3,3,0
53333655,202210,0,1,8,3,3,0
53333697,202210,1,0,1,0,0,0
53333818,202210,1,0,10,0,0,0
53333826,202210,1,0,12,0,0,0
53333898,202210,0,3,3,2,2,0
53333976,202210,1,0,1,2,2,0
53333981,202210,1,1,1,1,1,0
53333982,202210,0,2,12,1,1,0
53333984,202210,1,1,8,1,1,0
53334017,202210,1,0,2,1,1,0
53334030,202210,0,3,1,1,1,0
53334057,202210,0,2,11,2,2,0
53334088,202210,1,4,2,1,1,0
53334096,202210,1,2,11,1,1,0
53334097,202210,0,4,6,0,0,2
53334154,202210,1,2,8,3,3,0
53334169,202210,1,3,2,2,2,0
53334170,202210,1,1,13,0,0,0
53334174,202210,1,2,2,2,2,0
53334207,202210,0,3,0,3,3,0
53334228,202210,0,3,1,3,3,0
53334286,202210,1,2,8,2,2,0
53334297,202210,1,3,8,1,1,0
53334304,202210,0,4,1,0,0,0
53334374,202210,1,2,3,1,1,0
53334410,202210,1,0,3,0,0,0
53334436,202210,1,2,4,1,1,0
53334457,202210,1,2,10,2,2,0
53334489,202210,1,3,1,1,1,0
53334507,202210,1,3,1,3,3,0
53334550,202210,0,1,1,3,3,0
53334592,202210,1,0,1,3,3,0
53334607,202210,0,0,2,1,1,0
53334608,202210,0,0,2,0,0,0
53334610,202210,0,2,13,3,3,0
53334671,202210,1,2,1,1,1,0
53334682,202210,0,0,8,0,0,1
53334690,202210,1,0,8,0,0,0
53334780,202210,0,3,8,3,3,0
53334789,202210,0,3,1,2,2,0
53334833,202210,0,0,13,3,3,2
53334894,202210,1,4,1,0,0,0
53334905,202210,0,1,1,3,3,0
53334970,202210,1,2,4,2,2,3
53334986,202210,1,4,4,1,1,0
53335142,202210,1,3,15,2,2,0
53335148,202210,0,3,3,1,1,2
53335184,202210,1,4,0,1,1,0
53335197,202210,1,4,8,3,3,0
53335245,202210,1,2,8,3,3,0
53335259,202210,0,2,15,1,1,0
53335279,202210,1,3,12,3,3,0
53335288,202210,0,4,6,2,2,0
53335314,202210,1,1,12,1,1,0
53335315,202210,0,2,14,1,1,0
53335378,202210,0,3,12,1,1,0
53335380,202210,0,0,3,0,0,0
53335445,202210,1,2,3,2,2,0
53335446,202210,0,2,1,2,2,0
53335449,202210,1,1,7,1,1,0
53335465,202210,0,3,1,1,1,0
53335469,202210,0,4,8,2,2,2
53335498,202210,1,4,1,2,2,0
53335528,202210,0,2,0,0,0,0
53335539,202210,1,1,6,2,2,0
53335551,202210,0,2,8,3,3,0
53335560,202210,1,3,1,1,1,0
53335586,202210,0,4,6,3,3,0
53335601,202210,0,2,8,2,2,0
53335741,202210,1,1,1,2,2,0
53335743,202210,1,4,11,1,1,0
53335794,202210,0,0,3,0,0,0
53335809,202210,0,1,7,3,3,0
53335829,202210,1,3,8,3,3,0
53335857,202210,0,3,8,2,2,0
53335860,202210,0,0,11,3,3,0
53335872,202210,0,2,14,3,3,0
53335919,202210,1,4,1,3,3,0
53335992,202210,1,1,1,2,2,0
53336040,202210,0,1,4,1,1,0
53336103,202210,1,3,1,2,2,0
53336131,202210,0,3,1,3,3,0
53336140,202210,1,2,13,2,2,0
53336176,202210,0,2,11,2,2,0
53336255,202210,0,2,1,2,2,0
53336287,202210,0,3,1,1,1,0
53336321,202210,1,4,8,3,3,0
53336328,202210,0,4,1,3,3,0
53336375,202210,1,4,2,1,1,0
53336378,202210,0,3,2,3,3,2
53336379,202210,0,4,10,3,3,0
53336490,202210,0,4,0,1,1,0
53336559,202210,1,1,10,3,3,0
53336575,202210,0,0,1,1,1,0
53336647,202210,0,3,9,0,0,0
53336686,202210,0,3,7,3,3,0
53336687,202210,0,1,1,1,1,0
53336731,202210,1,0,11,0,0,1
53336814,202210,0,4,2,0,0,0
53336851,202210,0,4,7,2,2,0
53336883,202210,1,4,1,3,3,0
53336904,202210,1,3,1,3,3,0
53336912,202210,0,3,15,2,2,0
53336915,202210,0,4,8,2,2,0
53336917,202210,0,0,10,1,1,0
53336932,202210,0,3,14,1,1,0
53336933,202210,1,3,5,2,2,0
53336962,202210,1,3,8,0,0,1
53336963,202210,1,2,10,1,1,0
53336969,202210,0,4,4,2,2,0
53336977,202210,1,1,1,2,2,0
53337037,202210,1,1,8,0,0,0
53337041,202210,0,4,2,1,1,0
53337072,202210,1,3,2,0,0,0
53337145,202210,0,4,1,0,0,0
53337147,202210,1,3,5,1,1,0
53337159,202210,1,4,7,1,1,0
53337226,202210,1,3,10,3,3,0
53337243,202210,0,2,7,3,3,0
53337245,202210,0,3,1,1,1,0
53337286,202210,1,4,1,1,1,1
53337324,202210,1,0,15,1,1,0
53337329,202210,0,3,6,2,2,0
53337351,202210,1,4,1,1,1,0
53337362,202210,1,1,6,3,3,0
53337383,202210,1,4,8,2,2,0
53337420,202210,0,2,5,0,0,0
53337441,202210,0,1,12,2,2,0
53337465,202210,0,4,1,3,3,0
53337471,202210,0,0,1,3,3,0
53337476,202210,0,1,10,0,0,0
53337508,202210,1,2,4,2,2,0
53337551,202210,0,0,8,0,0,0
53337566,202210,1,3,1,1,1,0
53337568,202210,0,2,14,2,2,0
53337635,202210,1,4,8,3,3,0
53337641,202210,0,3,5,3,3,0
53337708,202210,0,3,15,3,3,0
53337730,202210,0,2,1,1,1,0
53337734,202210,1,2,8,0,0,0
53337750,202210,0,3,10,2,2,0
53337765,202210,0,4,7,3,3,2
53337785,202210,1,1,14,1,1,2
53337816,202210,0,0,1,0,0,0
53337831,202210,1,0,10,3,3,0
53337853,202210,0,3,6,1,1,0
53337897,202210,1,1,8,0,0,3
53337921,202210,1,4,8,1,1,0
53337944,202210,1,1,7,2,2,0
53337951,202210,0,4,2,2,2,0
53337961,202210,0,4,2,2,2,0
53338008,202210,1,3,5,1,1,0
53338020,202210,0,2,5,0,0,0
53338026,202210,1,4,3,0,0,0
53338032,202210,0,4,11,2,2,0
53338101,202210,0,4,9,1,1,0
53338130,202210,1,1,1,1,1,0
53338157,202210,1,2,8,1,1,2
53338179,202210,0,4,11,3,3,0
53338199,202210,1,2,6,2,2,0
53338232,202210,1,1,4,1,1,0
53338234,202210,1,1,2,1,1,0
53338277,202210,1,1,1,0,0,0
53338302,202210,1,0,4,0,0,0
53338310,202210,1,3,10,3,3,0
53338367,202210,1,4,1,0,0,0
53338401,202210,1,1,5,0,0,0
53338407,202210,0,2,12,1,1,0
53338476,202210,1,2,1,3,3,0
53338489,202210,1,0,14,3,3,0
53338530,202210,0,3,2,3,3,0
53338544,202210,1,4,8,3,3,0
53338565,202210,1,3,8,1,1,0
53338568,202210,1,3,12,3,3,0
53338598,202210,0,4,10,3,3,0
53338605,202210,0,3,1,3,3,0
53338649,202210,0,4,8,3,3,3
53338704,202210,1,3,9,3,3,0
53338823,202210,1,3,6,3,3,0
53338833,202210,0,4,8,1,1,0
53338881,202210,1,2,2,3,3,0
53338886,202210,0,0,8,1,1,0
53338890,202210,1,2,1,3,3,0
53338900,202210,1,4,6,1,1,0
53338909,202210,1,3,0,2,2,2
53338964,202210,0,0,0,0,0,0
53338978,202210,1,0,1,2,2,0
53338982,202210,0,3,10,2,2,0
53338990,202210,0,0,1,3,3,0
53339160,202210,1,3,8,3,3,0
53339224,202210,0,3,1,3,3,3
53339260,202210,0,2,14,3,3,0
53339295,202210,1,4,5,1,1,0
53339323,202210,0,1,9,2,2,0
53339345,202210,1,4,10,3,3,0
53339358,202210,0,2,15,2,2,0
53339361,202210,1,0,8,2,2,3
53339427,202210,1,4,9,1,1,0
53339450,202210,0,1,2,1,1,0
53339453,202210,1,0,1,2,2,0
53339464,202210,1,2,8,3,3,0
53339478,202210,0,4,15,1,1,0
53339481,202210,1,3,7,3,3,0
53339498,202210,1,1,14,2,2,0
53339510,202210,1,1,0,2,2,0
53339534,202210,1,0,10,0,0,0
53339545,202210,0,1,1,0,0,0
53339546,202210,1,1,1,3,3,0
53339575,202210,0,3,1,1,1,0
53339576,202210,1,3,14,3,3,0
53339631,202210,0,2,10,1,1,0
53339667,202210,0,2,3,2,2,0
53339683,202210,1,3,1,2,2,0
53339686,202210,1,1,11,1,1,3
53339738,202210,1,4,0,2,2,0
53339746,202210,1,4,8,1,1,0
53339795,202210,1,2,2,3,3,0
53339852,202210,0,2,11,2,2,0
53339864,202210,1,3,1,3,3,0
53339865,202210,0,3,10,1,1,0
53339869,202210,0,3,7,1,1,0
53339996,202210,1,4,14,1,1,1
53340015,202210,1,2,1,2,2,0
53340016,202210,1,2,1,1,1,0
53340053,202210,1,3,2,2,2,0
53340064,202210,1,3,10,3,3,0
53340141,202210,1,1,1,0,0,0
53340145,202210,1,2,3,2,2,0
53340155,202210,0,2,1,2,2,0
53340178,202210,1,2,1,3,3,0
53340237,202210,0,3,1,2,2,0
53340238,202210,1,4,6,1,1,0
53340257,202210,0,4,8,1,1,0
53340263,202210,1,4,10,3,3,0
53340359,202210,0,2,6,2,2,0
53340448,202210,0,2,1,2,2,0
53340472,202210,1,1,5,1,1,0
53340493,202210,0,3,1,3,3,0
53340495,202210,0,2,7,2,2,0
53340512,202210,1,2,1,3,3,0
53340552,202210,0,1,3,1,1,0
53340558,202210,0,1,1,2,2,0
53340570,202210,1,4,1,1,1,0
53340606,202210,1,4,1,1,1,0
53340685,202210,1,2,1,2,2,0
53340744,202210,1,2,14,2,2,1
53340747,202210,1,1,14,3,3,0
53340758,202210,1,3,1,1,1,0
53340780,202210,0,1,1,1,1,0
53340783,202210,1,1,12,2,2,0
53340827,202210,1,1,2,1,1,0
53340888,202210,1,2,1,2,2,2
53340890,202210,0,2,7,1,1,0
53340907,202210,1,4,8,3,3,0
53340927,202210,0,3,1,2,2,0
53341051,202210,1,0,8,3,3,2
53341056,202210,0,2,8,3,3,0
53341064,202210,0,2,1,2,2,0
53341078,202210,1,1,3,3,3,0
53341109,202210,0,2,14,1,1,0
53341117,202210,0,2,1,3,3,0
53341129,202210,1,0,4,2,2,0
53341135,202210,0,1,7,1,1,0
53341199,202210,0,0,7,1,1,0
53341203,202210,1,4,0,2,2,0
53341205,202210,0,2,8,1,1,0
53341235,202210,1,2,1,2,2,0
53341279,202210,0,0,11,3,3,0
53341304,202210,0,1,0,2,2,0
53341397,202210,0,2,8,3,3,0
53341425,202210,1,0,8,2,2,0
53341426,202210,0,3,5,3,3,0
53341440,202210,1,3,3,1,1,0
53341461,202210,1,2,15,3,3,0
53341480,202210,1,1,10,1,1,0
53341482,202210,1,4,3,1,1,1
53341517,202210,0,2,7,1,1,0
53341520,202210,1,1,1,3,3,0
53341556,202210,0,4,1,3,3,1
53341563,202210,1,3,1,3,3,0
53341691,202210,0,1,13,3,3,0
53341699,202210,0,2,5,1,1,0
53341708,202210,0,2,5,0,0,0
53341710,202210,0,1,2,2,2,0
53341722,202210,1,0,1,3,3,0
53341726,202210,0,0,8,1,1,0
53341766,202210,1,3,6,3,3,0
53341770,202210,0,2,2,3,3,0
53341792,202210,1,1,1,0,0,0
53341803,202210,1,3,5,3,3,0
53341807,202210,0,3,0,3,3,0
53341815,202210,0,3,2,3,3,0
53341816,202210,1,1,5,1,1,0
53341820,202210,0,2,10,1,1,0
53341822,202210,0,3,2,3,3,0
53341843,202210,1,4,1,0,0,0
53341856,202210,1,4,8,0,0,0
53341867,202210,0,2,15,2,2,0
53341890,202210,1,1,7,1,1,0
53341894,202210,1,1,1,3,3,0
53341899,202210,1,0,8,0,0,0
53341902,202210,1,3,3,2,2,0
53341973,202210,0,3,14,2,2,0
53342027,202210,0,1,5,1,1,0
53342073,202210,0,2,15,3,3,0
53342119,202210,1,1,7,0,0,0
53342203,202210,1,4,11,3,3,0
53342247,202210,1,4,15,2,2,0
53342261,202210,1,3,8,3,3,0
53342313,202210,1,2,5,0,0,0
53342351,202210,0,4,1,1,1,0
53342370,202210,0,0,0,2,2,0
53342385,202210,0,2,14,3,3,0
53342422,202210,1,4,11,2,2,2
53342437,202210,1,3,7,3,3,0
53342474,202210,1,0,2,2,2,0
53342479,202210,1,2,10,2,2,0
